"name","host_name","neighbourhood","floor","price","footage","avgreview","Deal"
"Stunning Time Square NYC Home Manhattan!!","Luzia","Hell's Kitchen",16,532.7247934,216,4.14,"Bad"
"Cozy apartment, SubwayEMR7NW, 5mins to Manhattan","Eden","Long Island City",5,89.81299703,192,2.87,"Neutral"
"Sun-drenched 1 bedroom in Clinton Hill/Bed-Stuy","Irene","Bedford-Stuyvesant",1,199.4841033,217,3.77,"Good"
"CONDO big space lots of mirrors","Vincent","Harlem",16,516.4208018,473,2.25,"Bad"
"Room in ground level brownstone with private yard","Morgan","Bedford-Stuyvesant",16,516.860571,159,2.12,"Bad"
"FINANCIAL NEAR WORLD TRADE CENTER","Anny","Financial District",1,144.7408282,601,2.16,"Neutral"
"I bedroom w/ private bathroom","Crystal & Allan","Harlem",1,132.057796,180,3.51,"Neutral"
"Sunny and Very Spacious 1 bedroom Apartment","Robert","Morningside Heights",16,516.0220777,560,3.61,"Neutral"
"Cozy Room - Free Cleaning + WiFi - Quick Walk to L","Bedly Bushwick","Bushwick",1,91.08586299,293,3.33,"Good"
"Large and clean room with a king size bed,","Antonio","Long Island City",5,171.2051619,290,3.13,"Neutral"
"Forest Hills Apt minutes to midtown Manhattan","Jean","Forest Hills",20,510.38298,361,4.53,"Bad"
"Sunlit Bushwick Oasis w/ Private Bathroom!","H&E","Bushwick",1,89.48036869,227,3.48,"Neutral"
"Bright cozy home close to Penn Station NYC❤️","Barbara","Long Island City",5,172.6478421,447,4.43,"Neutral"
"Sweet and Simple","K","Downtown Brooklyn",1,99.43587851,223,3.44,"Neutral"
"One private guest room in a 3 bedroom
Condo.","Nebiyu","Harlem",16,247.8226512,321,3.02,"Neutral"
"Bright room in a newly renovated Apt in Brooklyn","Ruben And Will","Crown Heights",1,90.5608411,184,3.24,"Neutral"
"2 Bdrm apt Near Empire State Building","Nina","Midtown",16,538.0560545,301,2.53,"Bad"
"Giant Private Townhouse w/ Garden","Mia","Bedford-Stuyvesant",16,251.3849138,153,2.55,"Bad"
"West 15th Street Cozy Chelsea Studio Serviced Apt","Ken","Chelsea",16,536.7435242,257,3.51,"Bad"
"Large Eco bedroom on the River","Y&Y","Kips Bay",16,265.1189014,302,3.97,"Neutral"
"1 Bedroom avail in BK 3BD w/ porch","Nerenda","Bedford-Stuyvesant",1,94.43410157,350,4.7,"Good"
"Sunny studio loft in midtown with elevator!","Nathan","Midtown",1,282.5724424,246,2.03,"Bad"
"Charming 1 br apartment","Andrew","Bushwick",1,198.1164629,201,2.71,"Bad"
"Quaint 1 Bedroom in Beautiful Astoria Queens","Zahi","Ditmars Steinway",5,83.32314916,292,2.91,"Neutral"
"Cozy Family Gateaway!!!","Esther","East Flatbush",16,245.8563944,228,3.72,"Neutral"
"Charming 1 Bedroom in center of East Village","Anna","East Village",16,536.3570059,344,2.65,"Bad"
"Quinn's bedroom","Quinn","Bushwick",1,90.32753233,510,2.76,"Good"
"East Village Manhattan NYC Bedroom!","Chris","East Village",1,147.4891531,237,4.34,"Neutral"
"Sonder | Stock Exchange | Lively 1BR + Kitchen","Sonder (NYC)","Financial District",16,531.1579566,485,3.74,"Neutral"
"Sunny, spacious -  35 mins Times Sq","Angela","Inwood",16,241.41488,742,3.89,"Good"
"Serenity and Ease in Brooklyn!","Samar","Bedford-Stuyvesant",1,89.16473902,296,2.13,"Neutral"
"Lovely designer's studio","Gigi","Fort Greene",1,201.0548174,537,3.8,"Good"
"Small clean cosy minimalist FEMALE ONLY -Bushwick","Darlene","Bushwick",1,92.50522034,178,2.52,"Neutral"
"","Miguel","Harlem",16,516.1877812,415,2.12,"Bad"
"Single Bed A in Sharing Room near Grand Central","Mizue","Murray Hill",16,203.9958333,545,3.4,"Neutral"
"Big living room, w/ 3 big bedrooms","Sam","East Village",1,286.833094,318,2.73,"Neutral"
"S...Comfortable Room All Inclusive","Hurriyet Aydın /","Bedford-Stuyvesant",1,91.1714602,173,3.34,"Neutral"
"Crisp Heart of Chelsea Studio, w/ Roofdeck + Gym, by Blueground","Blueground","Chelsea",16,537.7452338,576,3.73,"Neutral"
"the Horizon View","Adam","Murray Hill",1,287.2137926,229,2.72,"Bad"
"Bushwick Duplex 2","Deacon","Bushwick",16,516.6821015,339,2.03,"Bad"
"Spacious Room in the Heart of East Village!","Min","East Village",16,265.2791331,308,3.11,"Neutral"
"Beautiful 2 BR Garden Dplx in BK (w/ opt nursery)","Meriwether","Bedford-Stuyvesant",1,199.8175161,398,3.34,"Neutral"
"Beautiful Room In Spacious House w/ Full Kitchen","Lionel","Kensington",1,86.77125728,341,3.55,"Good"
"SINGLE ROOM AVAILABLE IN JAMAICA NEAR JFK & LGA","Moolchand","Hollis",20,506.2381767,793,2.47,"Bad"
"Brooklyn-Brooklyn","Liliana","Bushwick",1,89.61657299,367,2.4,"Neutral"
"Cozy &  Comfy Room in quiet Briarwood, Queens, NY","Maria","Briarwood",5,78.3805892,533,2.74,"Bad"
"Pretty Brooklyn One-Bedroom for 2 to 4 people","Michael","Bedford-Stuyvesant",1,263.9738831,367,3.53,"Neutral"
"Vibrant Brooklyn location!","Patrick","Greenpoint",1,280.359441,217,3.66,"Bad"
"Cozy NYC room 25min to Times Square","Noel & Rachel","Astoria",5,84.8172858,323,1.69,"Neutral"
"Cozy, updated 2 bedroom in Nolita!","Lauren","Little Italy",1,286.3678219,182,3.55,"Bad"
"Midtown 2 BR Private Apt for Urban Dwellers  ✧","Arthur","Hell's Kitchen",16,531.3009752,639,2.98,"Neutral"
"Cozy private room in Brooklyn, NYC.","Viktoriya","Gravesend",16,508.7874964,461,3.13,"Bad"
"Studio Deluxe 1 - Wyndham Midtown 45","Aaron","Midtown",16,264.3414221,239,2.1,"Bad"
"Big Cozy Apartment in West Uptown","Gabriela","Harlem",1,267.531792,304,2.06,"Bad"
"Next to Times Square/Javits/MSG! Amazing 1BR!","Rogelio","Hell's Kitchen",21,534.0232417,215,2.95,"Bad"
"Large Stylish & Modern 1 BR Apt.","Alexis","Hell's Kitchen",1,282.206142,553,2.09,"Neutral"
"Fort Greene Jewel","Sandra","Fort Greene",1,137.6099557,453,2.21,"Neutral"
"Private bedroom in large sunny 3 BR/2BA","Jennifer","Crown Heights",1,91.08586299,198,3.85,"Neutral"
"Large/Bright room in vibrant East village","Beatrice","East Village",16,263.6013217,251,2.98,"Bad"
"Sunny 1 Bedroom Apt in Bed-Stuy Brownstone","Kirby","Bedford-Stuyvesant",1,200.1616059,215,2.64,"Bad"
"Spacious and Bright Brooklyn Two Bedroom Apartment","Shane & Nicole","Gowanus",1,201.4044678,431,3.66,"Neutral"
"Gorgeous Large Room near LGA","Omar £ Jacqueline","East Elmhurst",5,82.16828278,257,3.72,"Neutral"
"1 BR in Harlem","Sebastian","Harlem",16,511.8352973,744,3.81,"Neutral"
"Huge Room in the Middle of Bushwick","Kayleigh","Bushwick",1,92.183913,350,3.86,"Bad"
"Clean and Cozy East Village Studio","Erik","East Village",16,534.7978306,568,2.12,"Bad"
"Spacious 1BR in trendy Brooklyn from 12/12-1/12","Michelle","Clinton Hill",1,202.560178,201,3.51,"Neutral"
"Private Room #2 in Brooklyn","Carlos","Bedford-Stuyvesant",1,91.56033966,201,2.79,"Good"
"Spacious, Light-Filled, Private Bklyn 2-Bedroom","Joel","Crown Heights",1,194.456577,254,3.2,"Neutral"
"2BD in the Heart of Fort Greene","Alyssa","Fort Greene",1,202.3660063,287,3.67,"Neutral"
"Sonder | Stock Exchange | Superior 3BR + Kitchen","Sonder (NYC)","Financial District",1,281.5666952,200,2.05,"Bad"
"East Village New Luxury Bldg - 1BR","Anna","East Village",16,535.978218,376,2.2,"Bad"
"Modern Room in Great Location (Bushwick)","Colin","Bushwick",1,92.88279857,293,2.13,"Neutral"
"Very large room & apartment close to Central Park!","Bhavin","Midtown",16,531.8857904,402,3.39,"Bad"
"Luxury New 2 bed Apartment By Central Park North","Lilian","East Harlem",16,517.1814599,435,2.45,"Bad"
"Beautiful 2 Bedroom Townhouse","Erin, Avi, Kaleb & Shiloh","Bedford-Stuyvesant",1,196.8919012,430,3.21,"Neutral"
"Ziggy Stardust Surf House - A Beautiful Houseboat","Ben","Arverne",5,153.447161,360,4.61,"Neutral"
"BEST LOCATION in MANHATTAN!","Gina","East Village",1,288.200148,161,2.75,"Good"
"Hip + Bright Studio w/ Balcony in Charming Chelsea by Blueground","Blueground","Chelsea",1,288.0992127,638,2.37,"Neutral"
"Large 2bd 15 min to Midtown Manhattan","Dani","Ditmars Steinway",5,164.53309,239,1.97,"Bad"
"Tribeca one bedroom apt - jan 13-30th","T","Chinatown",1,285.210332,196,2.1,"Bad"
"Modern Spacious and Sunny Place","Belgica","Bushwick",1,194.5965252,346,3.09,"Neutral"
"BEAUTIFUL PRIVATE ROOM","Lolita","Astoria",5,85.5365602,329,3.25,"Good"
"Beautiful Brooklyn Studio","Tal","Bedford-Stuyvesant",1,195.8100622,510,3.37,"Neutral"
"Cozy East Village Apartment","Jibran","East Village",1,286.2761461,495,2.68,"Neutral"
"Large, Sunny, Cozy Room in the Heart of Bed-Stuy!","Femi & Toya","Bedford-Stuyvesant",1,92.1250987,257,3.83,"Neutral"
"Studio next to Washington Sq Park","Yue","Greenwich Village",16,536.646157,434,2.79,"Bad"
"Brand new apt in heart of Midtown!","Mian","Hell's Kitchen",16,535.6069309,398,2.27,"Bad"
"Private Room and Bathroom in Historic Bed-Stuy","Sammy","Bedford-Stuyvesant",1,93.32378645,509,2.8,"Good"
"Bedroom in Massive Loft Apartment","Nikki","Chelsea",1,149.7581527,421,3.01,"Neutral"
"Cozy Room - 17mins to Manhattan. Close to LGA, JFK","Jessica","Elmhurst",5,82.5966917,197,3.05,"Neutral"
"Cozy Brooklyn Apartment","Victoria","Bushwick",1,91.45225181,178,4.8,"Bad"
"Ditmas Park Victorian Home","Jerry","Flatbush",1,192.1016494,271,2.73,"Neutral"
"SEMI STUDIO IN 2bdrm apt PRIVATE Bath","Mike&Mavi","Harlem",16,245.4580067,288,2.63,"Neutral"
"Fantastic Room - King Bed and a Private Rooftop","Isaac","Chelsea",16,265.5225543,488,2.49,"Neutral"
"Calm bed. perfect for students and travelers.","Imoy","Bedford-Stuyvesant",1,266.7216265,495,3.94,"Neutral"
"YOUR OWN PLACE WITH VIEWS OF CENTRAL PARK","Peter","Hell's Kitchen",16,531.1579566,432,2.74,"Bad"
"Bright Studio in the trees of North Williamsburg","Mel","Greenpoint",1,278.4788751,508,2.43,"Neutral"
"Winning Location in Hells Kitchen","Carl","Hell's Kitchen",16,534.6227964,429,3.14,"Bad"
"Prime Astoria Apartment, Beautiful and Convenient","Burcu","Astoria",5,85.44234608,323,3.8,"Good"
"Private Apt Manhattan Upper East 12min CentralPark","Juan C","East Harlem",16,518.0860612,593,3.01,"Neutral"
"SEXY Grand Central Modern CHIC BRAND NEW PARK AVE","Ian","Murray Hill",16,537.237908,389,2.72,"Bad"
"times sq 5 STAR quiet, stylish, safe, doorman bldg","Ros","Hell's Kitchen",1,285.210332,654,2.46,"Neutral"
"Sunny/spacious/convenient private room - Bushwick!","Rahul","Bushwick",1,92.94746712,422,4.83,"Good"
"Home 4 Medical Professionals- The ""Camphor""","Stat","Bushwick",1,267.7120154,296,3.47,"Neutral"
"2 Bedroom Times Square/Central Park |LOCATION|","Sammie","Hell's Kitchen",1,284.3679146,191,3.62,"Bad"
"Cozy NYC apartment in Little Italy","Olga","Chinatown",16,535.2429239,177,2.57,"Bad"
"Beautiful Private Room near Columbia University","Gabriel","Morningside Heights",1,131.345387,597,2.55,"Good"
"Doorman Views Location One bedroom 5194","Jeremy & Laura","Midtown",16,537.237908,327,3.4,"Good"
"Cozy & Elegant  Private 1 Bedroom","Christopher","Flushing",5,78.04781064,256,3,"Neutral"
"Brooklyn Historical Townhouse","Terrence And Teresa","Bedford-Stuyvesant",1,196.2486917,259,3.06,"Neutral"
"Affordable Room in Artsy Apartment","Rez","Crown Heights",1,91.11998174,381,2.61,"Good"
"In the heart of the East Village","Sandra","East Village",1,113.0734689,450,2.58,"Good"
"Stylish 1BR Apartment Quick to Midtown and LGA!","Dustin","Ditmars Steinway",5,164.3715887,289,2.96,"Neutral"
"Large B&B Style rooms","Angela","Bedford-Stuyvesant",16,250.309277,378,3.14,"Neutral"
"Shareroom in Midtown Manhattan 1or2 beds Available","Sandra","Hell's Kitchen",16,201.4283451,440,4.09,"Neutral"
"Spacious 2 BR. Ridgewood Apt.","Milly & George","Glendale",5,161.9167767,277,3.97,"Neutral"
"Sunny Bushwick Bedroom","Ruben","Bushwick",1,90.46657914,196,3.88,"Neutral"
"Cozy Brooklyn 1 Bed","Drew","Brooklyn Heights",1,205.5507752,371,2.23,"Neutral"
"Home away from home. Contemporary!","Patrick","Jackson Heights",5,161.627832,622,3.41,"Good"
"Remodeled Brand New Brooklyn Apartment","Jane Anne","Bushwick",1,195.2766973,328,2.67,"Neutral"
"Beautiful large private room in the heart of Soho","Eloise","Chinatown",1,147.4891531,280,2.53,"Neutral"
"Charming Apartment With View","Carlo","Harlem",1,263.2055895,362,3.65,"Neutral"
"Spacious apartment in delightful Cobble Hill","Josh","Boerum Hill",1,202.4045913,451,1.78,"Neutral"
"Sunny Private Room close to Manhattan(Green)","Jianren","Bushwick",1,92.83996798,478,2.89,"Good"
"1 Bedroom Apartment
Crown Heights, Brooklyn","Sini","Crown Heights",1,129.716581,539,1.58,"Neutral"
"One bedroom in Brooklyn Heights","Scott","Boerum Hill",1,274.6628378,288,3.34,"Neutral"
"Sunny private room in Gramercy","Daphne","Gramercy",16,266.1903205,312,3.34,"Neutral"
"Nice 20 minute Manhattan 15 to Barclays Center","Dadrine","East Flatbush",1,87.43623168,216,3.72,"Neutral"
"Cozy NYC apartment","Mark & Alex","East Harlem",1,131.3623867,374,4.43,"Good"
"Manhattan-very close to everywhere
muy cercadetodo","W. Alvaro","Morningside Heights",1,130.0041356,239,4.2,"Neutral"
"Nice and spacious 3BR home in Queens","David","East Elmhurst",5,130.1028484,188,3.17,"Neutral"
"Cozy apartment in a safe neighborhood","Jalal","Greenpoint",1,204.5055552,392,3.07,"Neutral"
"Large Lower East Side 1 BDR","Miguel","Lower East Side",1,286.0941459,298,2.96,"Neutral"
"SUNNY BEDROOM IN LARGE BK APT!","Sean","Crown Heights",1,265.7771465,318,2.38,"Bad"
"Monthly Rental in Crown Heights","Forrest","Crown Heights",1,89.52093203,564,3.58,"Good"
"Cozy BR | Private Floor & Terrace","Tal","Crown Heights",1,198.0125841,373,3.78,"Neutral"
"Private big room/Queen bed/Nice Apt","Robert","Ditmars Steinway",5,83.16496407,597,3.24,"Good"
"Garden Apartment with patio","Yvonne","Astoria",20,516.3566447,326,3.26,"Bad"
"Sonder | 11th Ave | Bright 1BR + Gym","Sonder (NYC)","Hell's Kitchen",1,282.6466814,377,2.35,"Bad"
"Fantastic Midtown Apartment!-2b","Bridgestreet Corporate","Midtown",17,535.2429239,641,2.25,"Bad"
"Brand-new Luxury apt. Stunning views by Penn st.","Danish","Chelsea",1,148.8279045,409,4.88,"Good"
"Central to everything, Spacious, Sunny & No MarkUp","Michael","Hell's Kitchen",17,531.445251,234,3.64,"Bad"
"1st Floor, Room # 9 (8' x 12')","Aminul","East New York",1,87.26667923,413,2.47,"Good"
"Large private bedroom w/private bath in shared apt","Niccolo","DUMBO",1,102.4876247,462,3.12,"Good"
"Luxury King Room Near Central Park","WestHouse","Hell's Kitchen",1,144.309662,548,3.35,"Good"
"Nightly or long sublet. (12x12 room in 2BR)","Fagan","Bushwick",1,92.75497516,771,4.29,"Good"
"Private Studio with Backyard in Brooklyn","Jasmine","Bedford-Stuyvesant",1,197.9610526,174,2.19,"Bad"
"Cozy Room for Rent very close to Manhattan","Jeanny","Astoria",20,518.1374579,302,3.77,"Bad"
"SUNNY ROOM A IN CHARMING AREA :)","Graham And Ben","Bedford-Stuyvesant",1,95.91003659,181,3.2,"Neutral"
"Beautiful, sunny, large 1BD!","L & R","Gowanus",1,197.3148865,424,1.58,"Neutral"
"1 BEDROOM ENTIRE HOME/APT❤ ASTORIA","Amy","Astoria",5,197.5091304,182,3.06,"Bad"
"Sonder | 180 Water | Beautiful Studio + Rooftop","Sonder","Financial District",1,281.9902007,407,4.55,"Bad"
"Overnight a brand new apartment in upper east side","Owen","East Harlem",16,189.901598,290,4.43,"Neutral"
"Awesome Place in the Heart of EV","Arpan","East Village",16,265.3598606,805,2.75,"Neutral"
"Sonder | 116 John | Ideal Studio + Gym","Sonder (NYC)","Financial District",16,531.3729549,304,2.72,"Bad"
"Cozy 1 bedroom, Lower East Side","Francesco","East Village",16,534.5359104,264,4.05,"Bad"
"Charming & Sunny Brooklyn Heights Studio","Meryl","Brooklyn Heights",1,207.0082331,274,4.17,"Neutral"
"Dream Pad","Krysta","Crown Heights",16,516.9967366,431,1.53,"Bad"
"Cool newly renovated 1BR Apt overlooking Park","Scott","East Harlem",16,516.5505072,223,3.34,"Bad"
"Brooklyn Private Room 20 min to Manhattan","Dee Daisy And Peter","Bedford-Stuyvesant",1,94.20548113,181,4.96,"Neutral"
"Sunlit Bedroom in Crown Heights.","Francisca","Brownsville",1,88.77907709,444,3.95,"Good"
"Safe Area Huge Room/ELECTRIC MASSAGE BED QUEENS,NY","Beethoven","Hollis",5,77.15910959,578,4,"Good"
"Chelsea Apt w/ Private Rooftop Deck","T","Chelsea",1,284.9533947,322,4.41,"Neutral"
"Beautiful Artist loft","Marcia","DUMBO",1,208.8774429,363,3.76,"Neutral"
"Beautiful 2br in Williamsburg","Amitai","Greenpoint",1,139.5038951,297,2.44,"Bad"
"Bargain! Amazing location Orchard St in the LES","Tessa","Chinatown",1,146.8246993,579,3.5,"Good"
"Private Room in Two-Bedroom Brooklyn Apartment","Karen Jennifer & Jan","Bay Ridge",1,189.9374518,428,2.53,"Neutral"
"Pretty Light Filled Apartment to Share","Cecille","Long Island City",5,94.53761673,373,3.6,"Good"
"A2Long Island City Big Room Great Location","Leo","Long Island City",5,274.1560525,237,3.1,"Bad"
"A quiet and spacious haven in the Lower East Side","Elliot","East Village",1,147.1902477,345,2.7,"Good"
"Charming 1 Bed in Trendy Location!","Morgan","East Village",16,536.7435242,248,3.98,"Bad"
"Peaceful home in Bedstuy","Amanda","Bedford-Stuyvesant",16,248.5772833,325,2.74,"Neutral"
"Light and Airy LES Studio-like Private Bedroom","James","Chinatown",1,146.4678338,353,2.08,"Neutral"
"Charming Bedroom in Harlem","Charles","East Harlem",16,248.0544049,534,3.6,"Neutral"
"Sunny/Bright apartment / top floor East Harlem","Jessica","East Harlem",1,266.8035118,276,2.42,"Bad"
"Luxury Apt - 10 mins to Midtown and Williamsburg","Gina","Long Island City",5,277.2764922,500,4.76,"Neutral"
"2bedroom in East Harlem, few blocks from 6 train","Richie","East Harlem",16,517.1349345,308,2.93,"Bad"
"Brooklyn","E","Bedford-Stuyvesant",1,198.1164629,171,2.82,"Bad"
"Cozy Studio in Historic Brownstone","Nate'","Harlem",1,262.8878806,156,4.55,"Bad"
"HUGE BEDROOM WITH PATIO ON HISTORIC LENOX AVE!!!","Taprena","Harlem",16,245.9050235,487,4.62,"Good"
"Urban Oasis Apartment for Fam or Friends","Daniela","Bedford-Stuyvesant",1,197.0074949,267,1.62,"Bad"
"Central Park North- 1 bed Apt to share (female)","Ara","East Harlem",16,249.3560261,195,3,"Bad"
"Charming Apartment in Greenpoint","Alejandro","Greenpoint",1,209.7082979,188,2.23,"Bad"
"Luxury Townhouse","Ray","East Harlem",16,515.6210752,208,3.64,"Bad"
"Private Bedroom on Newly Renovated Apartment","Bárbara","Bushwick",1,91.41656648,255,2.87,"Neutral"
"Cozy and Light Filled East Village Apartment","Carmel","Gramercy",1,148.9102985,207,2.35,"Neutral"
"Nice & clean studio for a couple","Agnieszka","Elmhurst",20,514.9436407,310,2.59,"Bad"
"2nd floor, Room# 5 (8'x12')","Aminul","East New York",1,87.21132406,160,2.79,"Neutral"
"The Lenox in Harlem","Yvette","Harlem",16,514.1358381,416,2.91,"Bad"
"Pr1vate Room(Queensizebed)$100","Shirley","Crown Heights",1,89.360181,188,3.6,"Neutral"
"Private room near LGA Airport with queen bed","Juel","East Elmhurst",5,80.82042653,592,2.76,"Good"
"Classic Loft in Gramercy/Flatiron - Amazing Value","Sameer","Flatiron District",16,538.3718351,342,3.31,"Bad"
"Near LGA and JFK airport 
Small Cozy Room","Jimmy","East Elmhurst",5,81.75246551,212,3.65,"Neutral"
"Cozy 1 bedroom east village apartment","Manuela","East Village",1,285.3836873,459,3.6,"Neutral"
"Brooklyn House","Ava","Dyker Heights",1,85.86339458,383,3.96,"Bad"
"Large Loft Times Square Apartment","Mike","Hell's Kitchen",1,286.3678219,665,3.26,"Neutral"
"CUTE PLACE & QUIET DREAMS W BALCONY","Raquel","East Village",16,535.6990617,517,4.68,"Neutral"
"SoHo/Village Studio","Russell","Greenwich Village",1,287.1178969,316,3.34,"Neutral"
"Charming Room with Private Bathroom","Alfredo","Hell's Kitchen",16,262.6230122,274,3.25,"Neutral"
"Brooklyn Loft - close to Pratt!!! Great location!","Brittany","Clinton Hill",1,200.6489733,181,2,"Bad"
"Studio Apartment in Flatiron District","Ashley","Greenwich Village",16,537.540718,295,3.74,"Bad"
"Harlem Knight - the heart of Manhattan","Rk","Harlem",16,246.4664679,524,3.49,"Neutral"
"Studio Midtown East","Dai","Midtown",16,534.0232417,176,3.9,"Bad"
"BEAUTIFUL ONE BEDROOM, PRIVATE BACKYARD. Manhattan","Cristina","Lower East Side",16,532.4918235,285,4.84,"Bad"
"Sunny Suite in Bed Stuy with AC!","Hadass","Bedford-Stuyvesant",1,93.48379435,286,3.37,"Good"
"NewlyBuilt+Terrace 3min▶︎Subway 30min Manhattan","Hiroki","Elmhurst",5,81.49955386,200,4.9,"Neutral"
"Oasis in Kensington","Janine","Kensington",1,88.3148435,534,3.71,"Good"
"Sunny and Large Brooklyn Apartment!","Hod & Chaya","Crown Heights",1,194.4913378,405,4.83,"Good"
"Cozy room in family home near subway","Jessica","Jackson Heights",5,81.4336354,151,3.58,"Neutral"
"Your Convenient Sanctuary 1br apt.","Tasia","Kensington",16,512.5363249,377,4.63,"Neutral"
"Peaceful place 10min. from Center of New York City","Zamira","Long Island City",5,88.82730193,296,4.37,"Good"
"Colorful and Sunlit Bushwick!","Kat","Bushwick",1,197.0307866,522,4.16,"Good"
"Comfy and Classic Brooklyn Brownstone 1 Bedroom!","Eve","Bedford-Stuyvesant",1,198.735708,598,3.86,"Good"
"Quiet Sunny 1-Bedroom, Prime East Village Location","Theresa","East Village",1,287.407048,193,3.3,"Bad"
"Brownstone Apt, 1min to Subway, 20min to Manhattan","Ninja & Sung","Clinton Hill",1,200.4514385,390,3.62,"Neutral"
"Sunny 1BR in East Village","Eugene","Gramercy",1,288.200148,226,2.26,"Bad"
"Great spot in Lower East Side","EmiLy","Lower East Side",16,534.0232417,197,2.21,"Bad"
"Private Cozy Studio in Flushing(5K)","Northern Star Realty","Flushing",5,259.0751746,243,3.38,"Bad"
"Modern Studio in Heart of Crown Heights, Brooklyn","Micah","Crown Heights",1,195.7491475,291,4.14,"Neutral"
"East Flatbush Charmer","Marsha","East Flatbush",1,87.25741367,296,2.1,"Neutral"
"Cosy bedroom in Bushwick close to L&M train","Liset","Bushwick",1,91.72543365,815,3.24,"Good"
"Brooklyn Apartment on the Park","Georgia & Robin","Greenpoint",1,205.9010741,203,2.58,"Bad"
"Sunny Room Overlooking Harlem","Jakob","Harlem",16,511.9190783,269,2.39,"Bad"
"AC Hotel New York Downtown-7 Nights Min","Yun","Financial District",1,144.309662,506,2.58,"Neutral"
"Exposed Brick Large Soho Nolita Apt","Andy","Chinatown",1,147.3389696,215,2.05,"Neutral"
"Comfy and Quiet Private Room in Brooklyn","Muath","Bushwick",1,196.1634544,284,4.12,"Neutral"
"subway  1 min away,  manhattan 10 min.","Jesus","Astoria",5,84.73262413,343,2.95,"Neutral"
"Apartment Near Trendy Restaurants & Prospect Park","Alison","Crown Heights",1,197.0775447,355,3.41,"Neutral"
"2Beds Studio apartment in Prime Location","Studioplus","Midtown",1,289.6703759,468,2.78,"Neutral"
"1 BR in 2 BR Apartment (Furniture Included)","Matt","East Village",1,148.6643775,181,3.08,"Neutral"
"Entire Newly Renovated Sugar Hill Apt","Samantha","Harlem",16,512.0161242,434,3.34,"Bad"
"City Portal","Monica","East Elmhurst",5,81.94575491,162,2.22,"Good"
"Private charming room for gate away.","Ali","Bedford-Stuyvesant",1,92.90429817,289,3.55,"Good"
"Space to breath in Crown Heights","Emily","Crown Heights",1,90.35819182,301,4.44,"Good"
"NYMT06-1 LUXURY! one bedroom,Gym,doorman Ap-A","MyCity","Hell's Kitchen",16,530.9457505,556,3.01,"Neutral"
"Beautiful Renovated Duplex in Historic Townhouse","Alan","Harlem",16,513.0696577,515,3.31,"Neutral"
"Comfortable room Lower East Side. AC","Michael","Lower East Side",1,146.0506271,205,2.84,"Neutral"
"Spaceful studio in the heart of Financial district","Alena","Financial District",16,531.7376416,338,3.24,"Bad"
"Safe, Sunny, Quiet Chelsea Apt has Washer/Dryer","Michael","Chelsea",1,287.407048,210,3.58,"Bad"
"Location! Room in Bklyn 10 minutes to Manhattan U3","Bela & Gui","Bedford-Stuyvesant",1,94.82854444,333,2.97,"Good"
"Entire Gorgeous Greenpoint Duplex","Lily","Greenpoint",1,211.0786364,332,2.75,"Neutral"
"Big 1 bedroom apartment 15 minutes from Manhattan!","Emily","Ditmars Steinway",5,91.41656648,317,3.86,"Good"
"Central and Vibrant Chelsea Home","Denise","Chelsea",16,537.3383217,371,3.91,"Bad"
"2 Bed apart in the heart of Chelsea","Rui","Chelsea",16,536.8413894,265,2.57,"Bad"
"Great Apt With Balcony and Steps To The Subway","Mariana","Bedford-Stuyvesant",1,194.2173752,767,2.41,"Neutral"
"Garden Apt, Brooklyn - 2 nights min","Nadia","Carroll Gardens",1,201.2633245,430,2.94,"Good"
"Cozy bedroom in NYC great for your next vacation!","Leigha","Harlem",1,128.0075299,525,1.92,"Neutral"
"Brooklyn's Cozy Jewel II","Faith","Crown Heights",1,194.3703255,266,2.02,"Bad"
"One Room in Dreamy Bushwick Apartment","Andrea","Bushwick",1,89.95542701,162,2.96,"Neutral"
"Beautiful Bedrooms in Briarwood, NY","Constance F.","Briarwood",20,508.1556374,297,3.52,"Bad"
"Beautiful 3 bedroom loft  Greenpoint/Williamsburg!","Angelina","Greenpoint",1,210.9362404,253,1.74,"Bad"
"LARGE SUNNY 1BD 10 MIN TO MANHATTAN","Adelina","Astoria",5,166.7614792,215,3.08,"Bad"
"2 bedrooms-Apartment @ Brooklyn, Near D Subway","Artie","Borough Park",1,192.0386965,369,4.14,"Neutral"
"Charming Artists in the Heights","Gideon & Chantal","Harlem",1,128.4697936,401,2.5,"Neutral"
"Huge Comfy Room","Juliette","Bushwick",1,92.42366558,603,3.94,"Good"
"Bright warmth 2min bus 4min subway 窗下凉台花园房｡","美德","Forest Hills",5,260.4081336,496,2.89,"Neutral"
"5 min subway 20 to city Cozy Value Room near SUNY","Renee","East Flatbush",1,88.42757961,369,3.5,"Good"
"Private Room in HOME w/Professionals","Jenny","Flatbush",1,87.76135996,210,2.15,"Neutral"
"TIME SQUARE 2 bedroom apartment","Tom","Hell's Kitchen",1,285.3836873,373,4.18,"Neutral"
"Private 1 Bdrm Suite in Historic Brownstone","Judith","Brooklyn Heights",1,205.2092652,418,3.07,"Neutral"
"Modern Bedroom in Hamilton Heights","Jabari","Harlem",16,244.4893778,226,3.14,"Neutral"
"LUXURY*Doorman*Walk to Central Park","Emmanuel","Harlem",1,266.4606934,280,2.25,"Bad"
"Queen Room in Penthouse Fidi Apt","Herbie","Financial District",16,530.3931117,369,3.29,"Bad"
